timestamp,open,high,low,close,volume
2019-11-04,316.0000,319.0000,312.3500,314.3000,31535656
2019-11-01,312.4000,315.0000,308.6000,313.5500,44894016
2019-10-31,293.3500,317.8000,292.7500,312.4000,128449327
2019-10-30,283.0000,291.0000,279.2500,289.9000,51469048
2019-10-29,283.1500,285.0000,278.5500,280.6500,51033578
2019-10-27,0.0000,0.0000,0.0000,0.0000,0
2019-10-25,265.8000,284.1500,263.5500,281.5500,105518180
2019-10-24,276.0000,277.6500,248.6500,262.5000,63943183
2019-10-23,270.7500,277.8000,268.6500,275.4500,31789622
2019-10-22,270.4000,275.0000,268.5000,270.5000,27574295
2019-10-18,264.4000,271.3500,263.2000,269.6500,33203721
2019-10-17,256.4000,266.0000,255.6000,265.4500,37061013
2019-10-16,259.3000,261.9500,255.0000,256.0500,30892295
2019-10-15,256.4500,259.9000,254.8000,258.4500,23444973
2019-10-14,256.9500,259.4000,254.0000,255.4500,28265136
2019-10-11,256.2000,261.4000,251.5000,254.5500,43272106
2019-10-10,258.0000,258.0000,252.6000,254.1500,37577511
2019-10-09,250.1000,262.0000,244.3500,260.9500,60328507
2019-10-07,251.5000,253.4000,246.8500,249.1000,39160623
2019-10-04,258.5000,260.5000,248.5500,249.9500,60029186
2019-10-03,254.0000,260.7000,250.1000,254.1500,56207921
2019-10-01,272.7500,275.5000,245.5500,255.9500,79350077
2019-09-30,281.4000,281.8500,270.1500,270.8000,41094131
2019-09-27,282.7000,286.0500,280.0000,281.2000,37851718
2019-09-26,281.5000,289.9000,277.0000,281.8500,79005946
2019-09-25,297.0000,297.5000,278.7000,280.2500,73063465
2019-09-24,313.1500,315.1500,300.8000,302.6000,40096711
2019-09-23,307.5500,316.0000,300.4000,313.7500,54178171
2019-09-20,274.5000,307.6500,268.4000,301.7000,84481749
2019-09-19,279.9500,279.9500,273.0500,274.0500,23387797
2019-09-18,277.2000,282.9500,274.4000,280.4000,25478758
2019-09-17,285.0000,286.4500,273.0000,273.9500,21533362
2019-09-16,288.2000,290.4500,283.8000,284.7000,18267680
2019-09-13,285.0000,292.5000,282.0000,291.7000,27303181
2019-09-12,286.7500,288.8000,284.1500,287.0500,21964832
2019-09-11,278.5000,285.8500,278.5000,285.2500,20999669
2019-09-09,273.9500,278.7000,271.0000,278.0000,18616889
2019-09-06,275.0500,277.0000,272.1000,273.9500,16675146
2019-09-05,275.0000,276.3500,271.0500,273.3000,25085139
2019-09-04,269.7000,275.8500,267.2500,275.1000,27309675
2019-09-03,272.0000,272.0000,266.9500,268.4000,21241863
2019-08-30,275.9500,277.9500,266.8500,273.8500,45702652
2019-08-29,283.2000,284.3000,273.3000,274.5000,27083514
2019-08-28,286.6500,286.6500,282.2000,284.9000,18979998
2019-08-27,284.0000,288.0000,282.6000,285.7000,45164811
2019-08-26,288.0000,288.0000,270.0000,280.2000,64066440
2019-08-23,267.1000,275.2500,262.7000,271.1000,35212444
2019-08-22,278.3000,278.3000,267.3000,268.5500,27728925
2019-08-21,285.5000,285.6000,276.3000,277.4000,28226325
2019-08-20,287.3000,287.4000,280.6500,283.7000,23204417
2019-08-19,292.0000,292.4000,286.0000,286.8500,19831459
2019-08-16,287.9500,292.8000,284.3000,290.9000,20047399
2019-08-14,285.0500,291.2500,284.5000,289.7500,18523649
